Equipo,Jugador,Posición,Puntos,Precio,PJ,Casa,Fuera,Media,Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
Athletic,De Galarreta,Centrocampista,145,14000000,29,13,16,5.0,inigo-ruiz-de-galarreta,Athletic Club,6.9892857142857,195.7,1,1,0.3176,2.46533733,932,190,1122,20,6,0,2,10,2014,28,96365
Mallorca,Dani Rodríguez,Centrocampista,144,13000000,36,18,18,4.0,dani-rodriguez,RCD Mallorca,6.8457142857143,239.6,2,4,1.3724,4.71993751,621,184,805,33,8,0,4,27,2605,35,349526
Osasuna,Sergio Herrera,Portero,144,10000000,32,14,18,4.5,sergio-herrera,CA Osasuna,7.003125,224.1,0,0,0.0,0.08140526,670,412,1082,0,2,0,0,0,2870,32,294377
Valencia,Javi Guerra,Centrocampista,143,13000000,36,18,18,3.97,javier-guerra,Valencia CF,6.7085714285714,234.8,4,1,2.6626,1.91369003,684,240,924,37,3,1,14,42,2481,35,1122610
Athletic,Yuri,Defensa,142,15000000,27,14,13,5.26,pedri,Barcelona,7.2217391304348,166.1,4,2,2.5708,3.9504189,955,137,1092,15,3,0,6,13,1397,23,992587
Rayo Vallecano,Óscar Valentín,Centrocampista,142,15000000,34,16,18,4.18,oscar-valentin,Rayo Vallecano,6.8558823529412,233.1,1,0,1.6754,0.65731685,1003,224,1227,7,5,1,7,15,2701,34,900008
Getafe,Diego Rico,Defensa,142,11000000,32,15,17,4.44,diego-rico,Getafe CF,6.953125,222.5,0,7,0.3229,3.42579966,704,340,1044,11,10,0,5,18,2536,32,350560
Osasuna,Rubén García,Centrocampista,139,13000000,30,14,16,4.63,ruben-garcia,CA Osasuna,6.9793103448276,202.4,3,2,2.2819,3.54494385,484,182,666,18,1,0,10,28,1553,30,260031
Alavés,Guevara,Centrocampista,139,9000000,37,18,19,3.76,javier-guerra,Valencia CF,6.7085714285714,234.8,4,1,2.6626,1.91369003,684,240,924,37,3,1,14,42,2481,35,1122610
Real Madrid,Tchouameni,Centrocampista,138,31000000,27,12,15,5.11,aurelien-tchouameni,Real Madrid,7.1814814814815,193.9,3,1,1.2526,1.4459605,1371,119,1490,6,7,0,7,27,1992,27,859025
Las Palmas,Álex Suárez,Defensa,137,10000000,32,16,16,4.28,alex-suarez,Las Palmas,6.89,206.7,2,0,1.3628,0.59298945,1235,182,1417,11,7,0,5,7,2501,31,914848
Sevilla,Nyland,Portero,135,8000000,24,11,13,5.63,orjan-nyland,Sevilla FC,7.0695652173913,162.6,0,0,0.0,0.0359518,359,291,650,0,1,0,0,0,2070,23,22209
Barcelona,Ferran Torres,Delantero,134,27000000,29,15,14,4.62,ferran-torres,Barcelona,6.9259259259259,187.0,7,2,5.5106,1.80653551,325,82,407,10,2,0,15,38,1185,28,855833
Celta,Unai Núñez,Defensa,134,15000000,34,15,19,3.94,unai-nunez,Celta de Vigo,6.9352941176471,235.8,1,0,1.4401,1.03447231,1300,328,1628,10,4,0,5,22,2802,34,892521
Athletic,De Marcos,Defensa,134,14000000,28,15,13,4.79,pena-marcos,Almería,6.8428571428571,47.9,0,0,0.1729,0.02507911,188,29,217,0,3,0,1,4,439,7,1493216
Osasuna,Aimar Oroz,Centrocampista,134,14000000,33,16,17,4.06,aimar-oroz,CA Osasuna,6.840625,218.9,2,1,3.4097,2.14376163,808,171,979,26,3,0,6,23,2270,32,985329
Alavés,Gorosabel,Defensa,134,12000000,36,17,19,3.72,igor-zubeldia,Real Sociedad,6.8466666666667,205.4,0,2,0.7605,0.80991156,1475,260,1735,4,11,1,0,12,2524,30,838159
