Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
sergio-ramos,Sevilla FC,7.3407407407407,198.2,3,0,1.8503,0.37921338,1309,161,1470,5,7,1,11,27,2428,27,10710
marcos-acuna,Sevilla FC,6.9095238095238,145.1,1,2,0.3113,2.08962854,511,130,641,10,7,0,4,9,1296,21,578560
jesus-navas,Sevilla FC,6.8689655172414,199.2,0,2,0.146,2.75024539,737,203,940,13,6,1,2,7,2010,29,11869
nemanja-gudelj,Sevilla FC,6.9047619047619,145.0,1,1,0.7956,0.44486182,901,142,1043,4,7,0,3,19,1733,21,68332
tanguy-nianzou,Sevilla FC,6.5125,52.1,0,0,0.0305,0.02377286,134,17,151,2,3,0,0,1,331,8,1003007
loic-bade,Sevilla FC,7.0074074074074,189.2,0,1,0.9536,0.44194881,1069,224,1293,10,5,1,3,14,2204,27,1006489
marcao,Sevilla FC,6.76,33.8,0,0,,0.04878714,164,17,181,1,2,0,0,0,309,6,840951
juanlu-sanchez,Sevilla FC,6.8913043478261,158.5,0,2,0.8596,1.085813,425,87,512,23,2,0,2,11,1107,25,1010655
adria-pedrosa,Sevilla FC,6.8655172413793,199.1,1,4,0.6416,1.85154978,493,137,630,12,1,0,2,14,1680,30,928672
kike-salas,Sevilla FC,6.9227272727273,152.3,3,0,0.8452,0.58546736,742,197,939,0,9,0,5,16,1572,22,1097719
marko-dmitrovic,Sevilla FC,6.9538461538462,90.4,0,0,0,0.016043,222,101,323,1,1,0,0,0,1170,13,94527
orjan-nyland,Sevilla FC,7.0695652173913,162.6,0,0,0,0.0359518,359,291,650,0,1,0,0,0,2070,23,22209
abdessamad-ezzalzouli,Real Betis,6.692,167.3,1,0,3.0468,0.51395496,244,93,337,23,1,0,9,37,928,27,1011375
cedric-bakambu,Real Betis,6.55,26.2,0,0,0.4357,0.41823573,26,13,39,1,1,0,1,4,195,4,115665
willian-jose,Real Betis,7.0125,224.4,10,5,5.6731,1.62828844,393,104,497,5,0,1,24,48,1901,32,123223
chimy-avila,Real Betis,6.8695652173913,158.0,2,3,2.7533,2.79939293,256,101,357,7,5,3,9,36,1171,23,789381
isco,Real Betis,7.5206896551724,218.1,8,5,8.3004,6.35575127,1151,184,1335,76,10,0,26,64,2338,29,103417
nabil-fekir,Real Betis,7.1722222222222,129.1,1,2,2.2427,2.69532274,461,87,548,21,1,0,9,28,1049,19,337671
guido-rodriguez,Real Betis,7.0166666666667,168.4,2,0,0.6731,0.78789681,887,145,1032,10,6,0,7,18,1849,24,609752
william-carvalho,Real Betis,6.7772727272727,149.1,1,3,0.3804,0.67401216,559,68,627,4,2,0,3,8,684,22,137978
pablo-fornals,Real Betis,7.18,107.7,3,2,1.8197,1.9617167,474,131,605,11,2,0,6,17,1153,15,816763
ayoze-perez,Real Betis,7.1033333333333,213.1,9,1,7.3341,2.91491639,526,139,665,49,4,0,25,66,2217,30,345195
johnny,Real Betis,7.10625,113.7,1,2,0.9759,0.99517347,494,93,587,11,3,0,3,11,1241,16,990169
marc-roca,Real Betis,6.972,174.3,2,2,1.144,1.66854933,945,166,1111,9,5,0,7,20,1896,25,847128
assane-diao,Real Betis,6.6388888888889,119.5,2,0,2.4915,0.83255547,198,56,254,18,4,0,3,21,1056,18,1493689
rodri-sanchez,Real Betis,6.7285714285714,188.4,0,0,1.0475,2.19473982,386,79,465,24,0,0,5,17,1005,28,1031421
